<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RAF_PB,D,20070813,000000,1.1172,1.1172,1.1172,1.1172,0,0
RAF_PB,D,20070814,000000,1.1087,1.1087,1.1087,1.1087,0,0
RAF_PB,D,20070816,000000,0.9382,0.9382,0.9382,0.9382,0,0
RAF_PB,D,20070817,000000,0.9382,0.9382,0.9382,0.9382,0,0
RAF_PB,D,20070820,000000,0.9465,0.9465,0.9465,0.9465,0,0
RAF_PB,D,20070821,000000,0.9465,0.9465,0.9465,0.9465,0,0
RAF_PB,D,20070822,000000,0.9382,0.9382,0.9382,0.9382,0,0
RAF_PB,D,20070823,000000,1.0234,1.0234,1.0234,1.0234,0,0
RAF_PB,D,20070824,000000,1.2791,1.2791,1.2791,1.2791,0,0
RAF_PB,D,20070827,000000,1.2709,1.2709,1.2709,1.2709,0,0
RAF_PB,D,20070828,000000,1.2364,1.2364,1.2364,1.2364,0,0
RAF_PB,D,20070829,000000,1.1769,1.1769,1.1769,1.1769,0,0
RAF_PB,D,20070830,000000,1.1514,1.1514,1.1514,1.1514,0,0
RAF_PB,D,20070831,000000,1.1854,1.1854,1.1854,1.1854,0,0
RAF_PB,D,20070903,000000,1.1939,1.1939,1.1939,1.1939,0,0
RAF_PB,D,20070904,000000,1.1939,1.1939,1.1939,1.1939,0,0
RAF_PB,D,20070905,000000,1.1854,1.1854,1.1854,1.1854,0,0
RAF_PB,D,20070906,000000,1.1769,1.1769,1.1769,1.1769,0,0
RAF_PB,D,20070907,000000,1.1258,1.1258,1.1258,1.1258,0,0
RAF_PB,D,20070910,000000,1.0746,1.0746,1.0746,1.0746,0,0
RAF_PB,D,20070911,000000,1.0915,1.0915,1.0915,1.0915,0,0
RAF_PB,D,20070912,000000,1.0915,1.0915,1.0915,1.0915,0,0
RAF_PB,D,20070913,000000,1.0746,1.0746,1.0746,1.0746,0,0
RAF_PB,D,20070914,000000,1.0234,1.0234,1.0234,1.0234,0,0
RAF_PB,D,20070917,000000,0.8956,0.8956,0.8956,0.8956,0,0
RAF_PB,D,20070918,000000,0.9297,0.9297,0.9297,0.9297,0,0
RAF_PB,D,20070919,000000,0.9297,0.9297,0.9297,0.9297,0,0
RAF_PB,D,20070920,000000,0.8956,0.8956,0.8956,0.8956,0,0
RAF_PB,D,20070921,000000,0.9297,0.9297,0.9297,0.9297,0,0
RAF_PB,D,20070924,000000,1.0403,1.0403,1.0403,1.0403,0,0
