<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SVE_PB,D,20110729,000000,12.26,12.26,12.26,12.26,0,0
SVE_PB,D,20110801,000000,12.26,13.76,11.77,13.76,0,0
SVE_PB,D,20110802,000000,13.76,13.76,13.28,13.28,0,0
SVE_PB,D,20110803,000000,13.28,13.28,12.51,13.25,0,0
SVE_PB,D,20110804,000000,13.25,13.25,12.72,12.72,0,0
SVE_PB,D,20110805,000000,13.41,13.41,12.72,12.72,0,0
SVE_PB,D,20110808,000000,12.72,12.77,12.51,12.51,0,0
SVE_PB,D,20110809,000000,12.77,12.77,12.56,12.56,0,0
SVE_PB,D,20110810,000000,12.77,12.77,12.74,12.74,0,0
SVE_PB,D,20110811,000000,12.74,12.74,11.87,12.72,0,0
SVE_PB,D,20110812,000000,12.74,12.74,12.72,12.72,0,0
SVE_PB,D,20110816,000000,12.74,12.74,12.74,12.74,0,0
SVE_PB,D,20110817,000000,12.74,12.74,3.76,3.76,0,0
SVE_PB,D,20110818,000000,3.77,3.77,3.76,3.76,0,0
SVE_PB,D,20110819,000000,3.77,3.77,3.77,3.77,0,0
SVE_PB,D,20110822,000000,3.77,3.84,3.77,3.84,0,0
SVE_PB,D,20110823,000000,3.84,3.84,3.68,3.68,0,0
SVE_PB,D,20110824,000000,3.73,3.73,3.73,3.73,0,0
SVE_PB,D,20110825,000000,3.73,3.73,3.73,3.73,0,0
SVE_PB,D,20110826,000000,3.76,3.76,3.76,3.76,0,0
SVE_PB,D,20110830,000000,3.73,3.73,3.73,3.73,0,0
SVE_PB,D,20110831,000000,3.72,3.72,3.72,3.72,0,0
SVE_PB,D,20110901,000000,3.72,3.72,3.72,3.72,0,0
SVE_PB,D,20110902,000000,3.7,3.7,3.7,3.7,0,0
SVE_PB,D,20110905,000000,3.7,3.71,3.7,3.71,0,0
SVE_PB,D,20110906,000000,3.7,3.8,3.58,3.8,0,0
SVE_PB,D,20110907,000000,3.85,3.85,3.78,3.78,0,0
SVE_PB,D,20110908,000000,3.78,3.78,3.78,3.78,0,0
SVE_PB,D,20110909,000000,3.78,3.78,3.62,3.78,0,0
SVE_PB,D,20110912,000000,3.73,3.73,3.73,3.73,0,0
SVE_PB,D,20110913,000000,3.76,3.76,3.76,3.76,0,0
SVE_PB,D,20110914,000000,3.76,3.76,3.76,3.76,0,0
SVE_PB,D,20110915,000000,3.76,3.76,3.76,3.76,0,0
SVE_PB,D,20110916,000000,3.76,3.76,3.76,3.76,0,0
SVE_PB,D,20110919,000000,3.78,3.78,3.78,3.78,0,0
SVE_PB,D,20110920,000000,3.78,3.78,3.76,3.76,0,0
SVE_PB,D,20110921,000000,3.76,3.76,3.76,3.76,0,0
SVE_PB,D,20110922,000000,3.76,3.83,3.76,3.83,0,0
SVE_PB,D,20110923,000000,3.85,3.85,3.85,3.85,0,0
SVE_PB,D,20110926,000000,3.85,3.85,3.84,3.84,0,0
SVE_PB,D,20110927,000000,3.84,3.84,3.83,3.84,0,0
SVE_PB,D,20110928,000000,3.84,3.84,3.84,3.84,0,0
SVE_PB,D,20110929,000000,3.83,3.85,3.83,3.83,0,0
SVE_PB,D,20110930,000000,3.84,3.84,3.84,3.84,0,0
SVE_PB,D,20111003,000000,3.86,3.86,3.86,3.86,0,0
SVE_PB,D,20111004,000000,3.84,3.84,3.77,3.77,0,0
SVE_PB,D,20111006,000000,3.77,3.77,3.77,3.77,0,0
SVE_PB,D,20111011,000000,3.77,3.77,3.77,3.77,0,0
SVE_PB,D,20111012,000000,3.77,3.77,3.71,3.71,0,0
SVE_PB,D,20111017,000000,3.62,3.62,3.62,3.62,0,0
SVE_PB,D,20111018,000000,3.62,3.62,3.62,3.62,0,0
SVE_PB,D,20111019,000000,3.62,3.62,3.62,3.62,0,0
SVE_PB,D,20111020,000000,3.62,3.62,3.62,3.62,0,0
SVE_PB,D,20111024,000000,3.62,3.62,3.62,3.62,0,0
SVE_PB,D,20111025,000000,3.54,3.54,3.54,3.54,0,0
SVE_PB,D,20111026,000000,3.54,3.54,3.54,3.54,0,0
SVE_PB,D,20111027,000000,3.54,3.54,3.54,3.54,0,0
SVE_PB,D,20111028,000000,3.54,3.54,3.54,3.54,0,0
SVE_PB,D,20111031,000000,3.54,3.89,3.54,3.78,0,0
SVE_PB,D,20111102,000000,3.77,3.77,3.77,3.77,0,0
SVE_PB,D,20111103,000000,3.84,3.84,3.73,3.73,0,0
SVE_PB,D,20111104,000000,3.73,3.84,3.73,3.84,0,0
SVE_PB,D,20111107,000000,3.77,3.77,3.77,3.77,0,0
SVE_PB,D,20111108,000000,3.77,4.5,3.77,4.5,0,0
SVE_PB,D,20111109,000000,4.5,4.58,4.16,4.58,0,0
SVE_PB,D,20111110,000000,4.58,4.58,4.58,4.58,0,0
SVE_PB,D,20111114,000000,4.58,4.58,4.54,4.54,0,0
SVE_PB,D,20111115,000000,4.54,4.54,4.54,4.54,0,0
SVE_PB,D,20111116,000000,4.54,4.54,4.53,4.53,0,0
SVE_PB,D,20111117,000000,4.53,4.53,4.53,4.53,0,0
SVE_PB,D,20111118,000000,4.53,4.53,4.23,4.42,0,0
SVE_PB,D,20111121,000000,4.31,4.31,4.31,4.31,0,0
SVE_PB,D,20111122,000000,4.53,4.53,4.53,4.53,0,0
SVE_PB,D,20111123,000000,4.53,4.54,4.31,4.31,0,0
SVE_PB,D,20111124,000000,4.31,4.31,3.85,4.24,0,0
SVE_PB,D,20111128,000000,4.04,4.04,3.89,3.89,0,0
SVE_PB,D,20111129,000000,3.92,3.92,3.92,3.92,0,0
SVE_PB,D,20111130,000000,3.92,3.92,3.92,3.92,0,0
SVE_PB,D,20111201,000000,3.92,3.92,3.84,3.88,0,0
SVE_PB,D,20111202,000000,3.96,3.96,3.96,3.96,0,0
SVE_PB,D,20111205,000000,3.96,3.96,3.96,3.96,0,0
SVE_PB,D,20111206,000000,3.96,3.96,3.96,3.96,0,0
SVE_PB,D,20111207,000000,3.96,4.24,3.96,3.96,0,0
SVE_PB,D,20111208,000000,3.96,3.96,3.96,3.96,0,0
SVE_PB,D,20111209,000000,3.96,3.96,3.96,3.96,0,0
SVE_PB,D,20111212,000000,3.96,3.96,3.96,3.96,0,0
SVE_PB,D,20111213,000000,3.96,3.96,3.96,3.96,0,0
SVE_PB,D,20111214,000000,3.96,3.96,3.96,3.96,0,0
SVE_PB,D,20111215,000000,3.96,3.96,3.96,3.96,0,0
SVE_PB,D,20111216,000000,3.96,3.96,3.96,3.96,0,0
SVE_PB,D,20111219,000000,3.96,3.96,3.96,3.96,0,0
SVE_PB,D,20111220,000000,3.96,3.96,3.96,3.96,0,0
SVE_PB,D,20111221,000000,3.96,4.16,3.96,4.16,0,0
SVE_PB,D,20111222,000000,4.16,4.51,4.16,4.51,0,0
SVE_PB,D,20111223,000000,4.59,4.9,4.59,4.67,0,0
SVE_PB,D,20111227,000000,4.9,5.54,4.9,5.54,0,0
SVE_PB,D,20111228,000000,5.54,5.54,5.54,5.54,0,0
SVE_PB,D,20111229,000000,5.54,5.54,5.54,5.54,0,0
SVE_PB,D,20111230,000000,5.54,5.54,5,5,0,0
SVE_PB,D,20120102,000000,5,5,4.91,4.91,0,0
SVE_PB,D,20120103,000000,4.91,4.91,4.91,4.91,0,0
SVE_PB,D,20120109,000000,4.99,5.46,4.99,5.46,0,0
SVE_PB,D,20120110,000000,5.46,5.46,5.46,5.46,0,0
SVE_PB,D,20120111,000000,5.46,5.46,5.15,5.15,0,0
SVE_PB,D,20120117,000000,5.31,5.31,5.31,5.31,0,0
SVE_PB,D,20120119,000000,5.19,5.19,5.19,5.19,0,0
SVE_PB,D,20120120,000000,5.15,5.15,5.15,5.15,0,0
SVE_PB,D,20120123,000000,5.15,5.15,5.15,5.15,0,0
SVE_PB,D,20120124,000000,5.15,5.15,5.15,5.15,0,0
SVE_PB,D,20120125,000000,5.15,5.15,5.15,5.15,0,0
SVE_PB,D,20120201,000000,5.07,5.07,5.07,5.07,0,0
SVE_PB,D,20120203,000000,5.07,5.22,5.07,5.22,0,0
SVE_PB,D,20120206,000000,5.22,6.26,5.22,6.26,0,0
SVE_PB,D,20120207,000000,6.13,6.49,6.02,6.26,0,0
SVE_PB,D,20120208,000000,7.13,7.13,7.05,7.05,0,0
SVE_PB,D,20120209,000000,7.13,7.13,6.73,6.73,0,0
SVE_PB,D,20120210,000000,6.73,6.73,6.73,6.73,0,0
SVE_PB,D,20120213,000000,6.57,6.57,6.57,6.57,0,0
SVE_PB,D,20120214,000000,6.65,6.65,6.45,6.45,0,0
SVE_PB,D,20120215,000000,6.53,6.53,6.53,6.53,0,0
SVE_PB,D,20120216,000000,6.53,6.53,6.53,6.53,0,0
SVE_PB,D,20120217,000000,6.53,6.53,6.52,6.52,0,0
SVE_PB,D,20120221,000000,6.52,6.52,6.49,6.49,0,0
SVE_PB,D,20120222,000000,6.48,6.49,6.48,6.49,0,0
SVE_PB,D,20120223,000000,6.49,6.49,6.49,6.49,0,0
SVE_PB,D,20120224,000000,6.49,6.49,6.49,6.49,0,0
SVE_PB,D,20120227,000000,6.49,6.49,6.49,6.49,0,0
SVE_PB,D,20120228,000000,6.49,6.49,6.49,6.49,0,0
SVE_PB,D,20120229,000000,6.49,6.49,6.03,6.03,0,0
SVE_PB,D,20120301,000000,6.15,6.15,6.14,6.14,0,0
SVE_PB,D,20120306,000000,6.15,6.15,6.15,6.15,0,0
SVE_PB,D,20120309,000000,6.15,6.15,6.15,6.15,0,0
SVE_PB,D,20120312,000000,6.15,6.15,6.15,6.15,0,0
SVE_PB,D,20120314,000000,6.15,6.15,6.15,6.15,0,0
SVE_PB,D,20120315,000000,6.15,6.15,5.56,5.65,0,0
SVE_PB,D,20120316,000000,5.49,5.49,5.15,5.15,0,0
SVE_PB,D,20120319,000000,5.38,5.92,5.38,5.92,0,0
SVE_PB,D,20120321,000000,5.76,5.76,5.49,5.49,0,0
SVE_PB,D,20120322,000000,5.39,5.39,5.39,5.39,0,0
SVE_PB,D,20120326,000000,5.45,5.52,5.45,5.52,0,0
SVE_PB,D,20120327,000000,5.52,5.52,5.52,5.52,0,0
SVE_PB,D,20120328,000000,5.45,5.45,5.45,5.45,0,0
SVE_PB,D,20120329,000000,5.45,5.76,5.45,5.61,0,0
SVE_PB,D,20120330,000000,5.61,6.15,5.61,6.15,0,0
SVE_PB,D,20120410,000000,5.92,5.92,5.92,5.92,0,0
SVE_PB,D,20120411,000000,5.92,5.99,5.88,5.88,0,0
SVE_PB,D,20120418,000000,5.84,5.84,5.49,5.49,0,0
SVE_PB,D,20120420,000000,5.69,5.69,5.69,5.69,0,0
SVE_PB,D,20120423,000000,5.61,5.72,5.53,5.53,0,0
SVE_PB,D,20120424,000000,5.49,5.72,5.49,5.72,0,0
SVE_PB,D,20120425,000000,5.72,5.8,5.72,5.8,0,0
SVE_PB,D,20120430,000000,5.61,5.61,5.53,5.53,0,0
SVE_PB,D,20120510,000000,5.53,5.53,5.35,5.36,0,0
SVE_PB,D,20120511,000000,5.36,5.49,5.36,5.49,0,0
SVE_PB,D,20120514,000000,5.49,6.15,5.49,6.15,0,0
SVE_PB,D,20120515,000000,5.92,5.92,5.92,5.92,0,0
SVE_PB,D,20120517,000000,5.65,5.92,5.65,5.76,0,0
SVE_PB,D,20120518,000000,5.65,5.76,5.57,5.76,0,0
SVE_PB,D,20120521,000000,5.76,5.76,5.3,5.38,0,0
SVE_PB,D,20120522,000000,5.38,5.38,5.38,5.38,0,0
SVE_PB,D,20120523,000000,5.38,5.52,4.92,5.52,0,0
SVE_PB,D,20120524,000000,5.38,5.38,5.36,5.36,0,0
SVE_PB,D,20120525,000000,5.36,5.36,5.1,5.19,0,0
SVE_PB,D,20120528,000000,5.24,5.36,5,5.31,0,0
SVE_PB,D,20120530,000000,5.05,5.09,4.97,5.09,0,0
SVE_PB,D,20120531,000000,5.09,5.36,5.09,5.36,0,0
SVE_PB,D,20120601,000000,5.13,5.13,4.97,5.08,0,0
SVE_PB,D,20120604,000000,5.1,5.1,5.1,5.1,0,0
SVE_PB,D,20120605,000000,5.1,5.1,5.1,5.1,0,0
SVE_PB,D,20120606,000000,5.13,5.13,5.13,5.13,0,0
SVE_PB,D,20120611,000000,4.94,5.04,4.94,5.04,0,0
SVE_PB,D,20120612,000000,5.05,5.13,5.05,5.13,0,0
SVE_PB,D,20120613,000000,5.13,5.13,5.13,5.13,0,0
SVE_PB,D,20120614,000000,5.13,5.13,5.13,5.13,0,0
