<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SLV_PE,D,20191016,000000,32.2,32.2,32.2,32.2,0,0
SLV_PE,D,20191017,000000,33.4,33.4,31.4,32.7,0,0
SLV_PE,D,20191018,000000,31.9,32.7,31.9,32.7,0,0
SLV_PE,D,20191021,000000,32.7,33.6,32.2,33.6,0,0
SLV_PE,D,20191022,000000,33.8,37.4,33.8,37.4,0,0
SLV_PE,D,20191023,000000,37.5,40.6,35.6,37.3,0,0
SLV_PE,D,20191024,000000,37.3,37.3,34.8,35.6,0,0
SLV_PE,D,20191025,000000,35.6,36.8,35.2,35.6,0,0
SLV_PE,D,20191028,000000,36.8,37.2,34.8,37,0,0
SLV_PE,D,20191029,000000,37.4,38.2,36.7,38,0,0
SLV_PE,D,20191030,000000,38.1,39.8,38.1,39.4,0,0
SLV_PE,D,20191031,000000,39.7,39.7,38.3,38.9,0,0
SLV_PE,D,20191104,000000,39.7,39.7,37.5,37.7,0,0
SLV_PE,D,20191105,000000,39.8,39.8,36.8,39.1,0,0
SLV_PE,D,20191106,000000,38.3,39.6,38.3,39,0,0
SLV_PE,D,20191107,000000,38.9,40,38.3,40,0,0
SLV_PE,D,20191108,000000,39.2,40,38.7,39.2,0,0
SLV_PE,D,20191112,000000,39.2,39.8,38.9,38.9,0,0
SLV_PE,D,20191113,000000,39.2,39.7,39.2,39.5,0,0
SLV_PE,D,20191114,000000,39.5,40.1,39.5,39.5,0,0
SLV_PE,D,20191115,000000,40.1,40.1,38.1,38.5,0,0
SLV_PE,D,20191118,000000,38.6,39.9,38.6,39.2,0,0
SLV_PE,D,20191119,000000,40,40,38.6,39,0,0
SLV_PE,D,20191120,000000,39.2,39.2,38.5,38.9,0,0
SLV_PE,D,20191121,000000,38.9,39.2,38.6,38.6,0,0
SLV_PE,D,20191122,000000,38.6,38.9,38.2,38.2,0,0
SLV_PE,D,20191125,000000,38.5,38.5,35.7,36.7,0,0
SLV_PE,D,20191126,000000,35.6,36.7,35.3,36,0,0
SLV_PE,D,20191127,000000,36.5,36.5,35.7,35.9,0,0
SLV_PE,D,20191128,000000,36.8,36.8,35.4,35.4,0,0
SLV_PE,D,20191129,000000,35.4,36,35.4,35.6,0,0
SLV_PE,D,20191202,000000,35.8,35.8,33.4,34.5,0,0
SLV_PE,D,20191203,000000,34.3,34.5,34.1,34.2,0,0
SLV_PE,D,20191204,000000,34.4,36.5,34.3,36.5,0,0
