<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
THG_PE,D,20210420,000000,15.4,15.4,15.4,15.4,0,0
THG_PE,D,20210421,000000,12.2,15.2,11.9,15.2,0,0
THG_PE,D,20210422,000000,15.2,15.6,15.2,15.6,0,0
THG_PE,D,20210423,000000,16.2,17.3,16,16.3,0,0
THG_PE,D,20210426,000000,16.3,18.2,16.3,18.1,0,0
THG_PE,D,20210427,000000,18.4,21.4,18.4,19.5,0,0
THG_PE,D,20210428,000000,20.4,20.4,19.5,20.2,0,0
THG_PE,D,20210429,000000,20.2,20.2,19.3,19.7,0,0
THG_PE,D,20210430,000000,19.7,19.7,19.2,19.5,0,0
THG_PE,D,20210504,000000,19.7,20.5,19.7,20.5,0,0
THG_PE,D,20210505,000000,20.2,20.2,19.6,20.1,0,0
THG_PE,D,20210506,000000,20.1,20.3,19.2,19.2,0,0
THG_PE,D,20210507,000000,18.7,18.8,18.6,18.8,0,0
THG_PE,D,20210510,000000,19.4,19.9,19.1,19.8,0,0
THG_PE,D,20210511,000000,20.6,20.9,16.6,16.6,0,0
THG_PE,D,20210512,000000,17.1,17.4,16.5,16.9,0,0
THG_PE,D,20210513,000000,17.1,19.2,17.1,18.4,0,0
THG_PE,D,20210514,000000,18.9,18.9,17.8,18.4,0,0
THG_PE,D,20210517,000000,19,19,17.9,18,0,0
THG_PE,D,20210518,000000,18.1,18.1,17.6,17.8,0,0
THG_PE,D,20210519,000000,17.8,17.9,17.4,17.9,0,0
THG_PE,D,20210520,000000,17.9,17.9,17.9,17.9,0,0
THG_PE,D,20210521,000000,17.9,17.9,17.2,17.7,0,0
THG_PE,D,20210524,000000,17.7,18,17.7,18,0,0
THG_PE,D,20210525,000000,17.9,17.9,17.4,17.7,0,0
THG_PE,D,20210526,000000,17.4,17.4,16.9,17.4,0,0
THG_PE,D,20210527,000000,17.4,17.4,16.9,16.9,0,0
THG_PE,D,20210528,000000,16.9,16.9,15.4,16.8,0,0
