<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
THG_PB,D,20210420,000000,4.29,4.29,4.29,4.29,0,0
THG_PB,D,20210421,000000,4.29,4.33,4.16,4.26,0,0
THG_PB,D,20210422,000000,4.26,4.36,4.26,4.36,0,0
THG_PB,D,20210423,000000,4.54,4.84,4.46,4.55,0,0
THG_PB,D,20210426,000000,4.55,5.08,4.55,5.07,0,0
THG_PB,D,20210427,000000,5.15,6,5.15,5.44,0,0
THG_PB,D,20210428,000000,5.7,5.7,5.43,5.62,0,0
THG_PB,D,20210429,000000,5.62,5.62,5.37,5.49,0,0
THG_PB,D,20210430,000000,5.49,5.49,5.37,5.45,0,0
THG_PB,D,20210504,000000,5.49,5.71,5.49,5.71,0,0
THG_PB,D,20210505,000000,5.62,5.62,5.46,5.61,0,0
THG_PB,D,20210506,000000,5.61,5.67,5.37,5.37,0,0
THG_PB,D,20210507,000000,5.24,5.24,5.19,5.24,0,0
THG_PB,D,20210510,000000,5.41,5.54,5.32,5.53,0,0
THG_PB,D,20210511,000000,5.75,5.84,5.09,5.09,0,0
THG_PB,D,20210512,000000,5.23,5.32,5.05,5.17,0,0
THG_PB,D,20210513,000000,5.23,5.87,5.23,5.64,0,0
THG_PB,D,20210514,000000,5.8,5.8,5.46,5.62,0,0
THG_PB,D,20210517,000000,5.79,5.79,5.46,5.52,0,0
THG_PB,D,20210518,000000,5.55,5.56,5.4,5.44,0,0
THG_PB,D,20210519,000000,5.44,5.47,5.32,5.47,0,0
THG_PB,D,20210520,000000,5.47,5.47,5.47,5.47,0,0
THG_PB,D,20210521,000000,5.47,5.47,5.25,5.42,0,0
THG_PB,D,20210524,000000,5.41,5.52,5.41,5.5,0,0
THG_PB,D,20210525,000000,5.46,5.46,5.32,5.43,0,0
THG_PB,D,20210526,000000,5.33,5.33,5.18,5.32,0,0
THG_PB,D,20210527,000000,5.32,5.32,5.18,5.18,0,0
THG_PB,D,20210528,000000,5.18,5.18,4.71,5.13,0,0
THG_PB,D,20210531,000000,5.09,5.13,4.97,5.13,0,0
THG_PB,D,20210601,000000,5.13,5.32,5.12,5.21,0,0
THG_PB,D,20210602,000000,5.2,5.2,5.09,5.09,0,0
THG_PB,D,20210604,000000,5.06,5.48,5.06,5.48,0,0
THG_PB,D,20210607,000000,5.4,5.4,5.14,5.38,0,0
THG_PB,D,20210608,000000,5.32,5.32,5.19,5.19,0,0
THG_PB,D,20210609,000000,5.1,5.2,4.96,5,0,0
THG_PB,D,20210610,000000,5.14,5.14,4.93,4.93,0,0
THG_PB,D,20210611,000000,5.07,5.07,4.93,4.95,0,0
THG_PB,D,20210614,000000,4.95,5.07,4.93,5.01,0,0
THG_PB,D,20210615,000000,5.04,5.04,4.85,4.93,0,0
THG_PB,D,20210616,000000,4.93,4.93,4.7,4.7,0,0
THG_PB,D,20210617,000000,4.7,4.74,4.7,4.74,0,0
THG_PB,D,20210618,000000,4.77,4.85,4.62,4.81,0,0
THG_PB,D,20210621,000000,4.62,4.7,4.62,4.7,0,0
THG_PB,D,20210622,000000,4.7,4.96,4.7,4.96,0,0
THG_PB,D,20210623,000000,4.96,4.96,4.73,4.88,0,0
THG_PB,D,20210624,000000,4.88,4.88,4.74,4.87,0,0
THG_PB,D,20210625,000000,4.87,4.89,4.73,4.89,0,0
THG_PB,D,20210628,000000,4.95,4.95,4.92,4.92,0,0
THG_PB,D,20210629,000000,4.92,4.93,4.92,4.93,0,0
THG_PB,D,20210630,000000,4.93,4.93,4.93,4.93,0,0
THG_PB,D,20210701,000000,4.91,5.16,4.91,5.05,0,0
THG_PB,D,20210702,000000,4.94,5.07,4.93,4.97,0,0
THG_PB,D,20210705,000000,4.97,5.05,4.85,5.01,0,0
THG_PB,D,20210706,000000,4.97,5.04,4.97,5.04,0,0
THG_PB,D,20210707,000000,5.13,5.13,4.93,4.93,0,0
THG_PB,D,20210708,000000,4.97,5,4.77,4.97,0,0
THG_PB,D,20210709,000000,4.97,4.97,4.92,4.92,0,0
THG_PB,D,20210712,000000,4.92,4.92,4.71,4.89,0,0
THG_PB,D,20210713,000000,4.72,4.93,4.72,4.89,0,0
THG_PB,D,20210714,000000,4.92,4.92,4.76,4.85,0,0
THG_PB,D,20210715,000000,4.85,4.93,4.85,4.93,0,0
THG_PB,D,20210716,000000,4.93,4.93,4.92,4.92,0,0
THG_PB,D,20210719,000000,5.07,5.07,4.82,4.92,0,0
THG_PB,D,20210720,000000,4.92,4.92,4.91,4.91,0,0
THG_PB,D,20210721,000000,4.92,4.93,4.92,4.92,0,0
THG_PB,D,20210722,000000,4.92,4.92,4.92,4.92,0,0
THG_PB,D,20210723,000000,4.92,4.92,4.38,4.74,0,0
THG_PB,D,20210726,000000,4.7,4.7,4.46,4.61,0,0
THG_PB,D,20210727,000000,4.58,4.58,4.46,4.52,0,0
THG_PB,D,20210728,000000,4.54,4.54,4.31,4.49,0,0
THG_PB,D,20210729,000000,4.46,4.49,4.46,4.49,0,0
THG_PB,D,20210730,000000,4.52,4.53,4.41,4.53,0,0
THG_PB,D,20210802,000000,4.34,4.42,4.27,4.42,0,0
THG_PB,D,20210803,000000,4.41,4.53,4.41,4.53,0,0
