<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SIM_PB,D,20200409,000000,26.531,29.814,24.612,29.814,0,0
SIM_PB,D,20200414,000000,35.519,42.629,31.346,42.629,0,0
SIM_PB,D,20200415,000000,46.485,60.112,46.485,58.52,0,0
SIM_PB,D,20200416,000000,58.47,58.47,41.432,43.153,0,0
SIM_PB,D,20200417,000000,43.756,46.485,41.126,43.618,0,0
SIM_PB,D,20200420,000000,44.844,44.844,40.364,41.897,0,0
SIM_PB,D,20200421,000000,42.115,42.876,39.376,39.652,0,0
SIM_PB,D,20200422,000000,38.288,41.017,36.379,39.929,0,0
SIM_PB,D,20200423,000000,39.979,45.674,39.979,43.45,0,0
SIM_PB,D,20200424,000000,43.4,44.082,41.917,43.479,0,0
SIM_PB,D,20200427,000000,43.756,48.127,43.4,44.438,0,0
SIM_PB,D,20200428,000000,46.466,46.466,43.974,45.398,0,0
SIM_PB,D,20200429,000000,45.398,45.398,43.756,45.398,0,0
SIM_PB,D,20200430,000000,45.398,45.398,43.341,43.341,0,0
SIM_PB,D,20200504,000000,43.341,44.3,41.571,42.935,0,0
SIM_PB,D,20200505,000000,43.756,43.756,42.659,43.756,0,0
SIM_PB,D,20200506,000000,43.43,43.885,41.68,41.68,0,0
SIM_PB,D,20200507,000000,41.699,42.115,41.017,41.047,0,0
SIM_PB,D,20200508,000000,42.085,43.202,40.612,41.432,0,0
SIM_PB,D,20200511,000000,42.392,43.756,41.017,41.976,0,0
SIM_PB,D,20200512,000000,41.432,43.479,41.017,42.659,0,0
SIM_PB,D,20200513,000000,43.43,44.033,39.514,39.514,0,0
SIM_PB,D,20200514,000000,39.771,42.303,37.991,38.901,0,0
SIM_PB,D,20200515,000000,40.523,41.027,39.662,40.523,0,0
SIM_PB,D,20200518,000000,41.284,45.012,41.284,44.933,0,0
SIM_PB,D,20200519,000000,44.3,44.785,43.193,43.44,0,0
SIM_PB,D,20200520,000000,43.944,44.3,43.064,44.211,0,0
SIM_PB,D,20200521,000000,44.676,51.42,44.676,51.42,0,0
SIM_PB,D,20200522,000000,50.154,51.667,49.135,50.658,0,0
SIM_PB,D,20200525,000000,50.915,53.694,50.915,52.656,0,0
