<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRI_MV,D,20211012,000000,117.14,117.14,117.14,117.14,0,0
CRI_MV,D,20211013,000000,119.13,140.86,117.38,138,0,0
CRI_MV,D,20211014,000000,143.55,206.4,143.55,206.18,0,0
CRI_MV,D,20211015,000000,213.98,217.31,179.28,179.28,0,0
CRI_MV,D,20211018,000000,184.32,184.32,166.49,180.04,0,0
CRI_MV,D,20211019,000000,179.4,187.18,172.9,179.24,0,0
CRI_MV,D,20211020,000000,173.12,173.12,157.01,158.62,0,0
CRI_MV,D,20211021,000000,159.73,186.86,158.62,181.59,0,0
CRI_MV,D,20211022,000000,188.7,188.7,168.62,185.59,0,0
CRI_MV,D,20211025,000000,188.76,188.76,176.07,176.55,0,0
CRI_MV,D,20211026,000000,180.51,180.83,171.66,176.55,0,0
CRI_MV,D,20211027,000000,175.91,175.91,161.95,165.73,0,0
CRI_MV,D,20211028,000000,165.73,175.75,158.62,175.75,0,0
CRI_MV,D,20211029,000000,171.34,171.34,161.22,170.04,0,0
CRI_MV,D,20211102,000000,168.14,169.73,158.62,169.54,0,0
CRI_MV,D,20211103,000000,166.55,166.55,161.64,161.64,0,0
CRI_MV,D,20211104,000000,162.59,164.97,157.05,164.97,0,0
CRI_MV,D,20211105,000000,163.76,182.38,158.65,174.36,0,0
CRI_MV,D,20211108,000000,177.28,182.42,172.9,180.83,0,0
CRI_MV,D,20211109,000000,180.83,188.76,180.67,180.67,0,0
CRI_MV,D,20211110,000000,188.44,188.44,181.21,185.59,0,0
CRI_MV,D,20211112,000000,185.59,188.76,181.34,188.76,0,0
CRI_MV,D,20211115,000000,190.32,202.88,184.45,190.03,0,0
CRI_MV,D,20211116,000000,186.41,186.83,169.73,176.07,0,0
CRI_MV,D,20211117,000000,178.99,179.24,169.73,174.49,0,0
CRI_MV,D,20211118,000000,179.21,179.21,166.78,170.52,0,0
CRI_MV,D,20211119,000000,172.9,172.9,166.78,171.31,0,0
CRI_MV,D,20211122,000000,171.31,172.9,168.14,168.14,0,0
CRI_MV,D,20211123,000000,168.9,172.77,163.38,166.55,0,0
CRI_MV,D,20211124,000000,172.11,172.42,166.55,172.42,0,0
CRI_MV,D,20211125,000000,172.42,172.42,164.43,166.55,0,0
CRI_MV,D,20211126,000000,163.45,171.15,163.38,164.97,0,0
CRI_MV,D,20211129,000000,164.97,164.97,160.21,164.97,0,0
CRI_MV,D,20211130,000000,164.94,174.49,164.94,171.31,0,0
CRI_MV,D,20211201,000000,171.31,174.49,171.28,174.49,0,0
CRI_MV,D,20211202,000000,177.44,177.63,161.8,168.14,0,0
CRI_MV,D,20211203,000000,169.7,174.42,166.55,168.14,0,0
CRI_MV,D,20211206,000000,168.11,169.7,163.45,168.78,0,0
CRI_MV,D,20211207,000000,165.73,167.35,151.49,152.28,0,0
CRI_MV,D,20211208,000000,152.44,157.04,149.9,157.04,0,0
CRI_MV,D,20211209,000000,153.86,158.61,153.86,155.45,0,0
CRI_MV,D,20211210,000000,161.48,161.48,153.88,155.42,0,0
CRI_MV,D,20211213,000000,150.69,152.26,147.55,150.69,0,0
CRI_MV,D,20211214,000000,152.28,155.42,147.5,150.69,0,0
CRI_MV,D,20211215,000000,155.4,172.55,153.86,169.7,0,0
CRI_MV,D,20211216,000000,169.7,171.31,164.18,171.31,0,0
CRI_MV,D,20211217,000000,172.87,172.87,169.7,171.12,0,0
CRI_MV,D,20211220,000000,169.73,169.73,161,168.14,0,0
CRI_MV,D,20211221,000000,171,179.24,169.7,174.17,0,0
CRI_MV,D,20211222,000000,177.66,180.83,177.66,179.24,0,0
CRI_MV,D,20211223,000000,179.88,179.88,166.97,171.28,0,0
CRI_MV,D,20211227,000000,171.28,174.49,166.74,174.33,0,0
CRI_MV,D,20211228,000000,174.3,174.3,169.79,171.31,0,0
CRI_MV,D,20211229,000000,174.3,180.04,174.3,178.45,0,0
CRI_MV,D,20211230,000000,167.35,174.52,167.35,171.31,0,0
CRI_MV,D,20220103,000000,174.1,180.7,174.1,180.51,0,0
CRI_MV,D,20220104,000000,179.24,179.24,169.89,179.15,0,0
CRI_MV,D,20220105,000000,180.7,181.91,171.31,178.45,0,0
CRI_MV,D,20220107,000000,178.45,181.18,174.71,179.05,0,0
CRI_MV,D,20220110,000000,179.24,200.82,179.24,193.52,0,0
CRI_MV,D,20220111,000000,190.35,202.09,190.35,200.02,0,0
CRI_MV,D,20220112,000000,201.45,201.45,185.59,188.92,0,0
CRI_MV,D,20220113,000000,196.66,226.48,191.93,220.49,0,0
CRI_MV,D,20220114,000000,220.49,225.24,210.05,221.28,0,0
CRI_MV,D,20220117,000000,209.76,216.49,205.1,213.35,0,0
CRI_MV,D,20220118,000000,214.14,285.52,214.14,281.56,0,0
CRI_MV,D,20220119,000000,269.69,276,239.55,250.62,0,0
CRI_MV,D,20220120,000000,253.8,276,253.8,272.64,0,0
CRI_MV,D,20220121,000000,263.31,277.56,258.56,258.56,0,0
CRI_MV,D,20220124,000000,260.14,266.49,217.69,217.69,0,0
CRI_MV,D,20220125,000000,217.69,253,217.69,250.56,0,0
CRI_MV,D,20220126,000000,245.83,261.7,245.68,252.15,0,0
CRI_MV,D,20220127,000000,250.43,250.43,227.15,233.18,0,0
CRI_MV,D,20220128,000000,237.93,245.87,218.93,244.28,0,0
CRI_MV,D,20220131,000000,237.93,253.48,237.93,253,0,0
CRI_MV,D,20220201,000000,244.98,261.73,244.98,260.11,0,0
CRI_MV,D,20220202,000000,263.31,272.83,257.6,257.6,0,0
CRI_MV,D,20220203,000000,260.14,260.46,242.85,252.85,0,0
CRI_MV,D,20220204,000000,252.85,253.8,237.93,253.7,0,0
CRI_MV,D,20220207,000000,255.38,256.87,253.7,253.8,0,0
CRI_MV,D,20220208,000000,256.81,264.9,246.02,258.52,0,0
CRI_MV,D,20220209,000000,259.35,259.35,253.8,253.8,0,0
CRI_MV,D,20220210,000000,255.38,261.7,252.21,256.81,0,0
CRI_MV,D,20220211,000000,264.87,264.87,255.38,264.11,0,0
CRI_MV,D,20220214,000000,253.77,253.77,243.49,245.87,0,0
CRI_MV,D,20220215,000000,246.34,256.97,244.28,250.85,0,0
CRI_MV,D,20220216,000000,253.8,253.8,245.07,252.18,0,0
CRI_MV,D,20220217,000000,250.47,250.47,234.76,234.76,0,0
CRI_MV,D,20220218,000000,241.74,241.74,226.04,233.18,0,0
CRI_MV,D,20220221,000000,226.86,228.42,218.9,221.91,0,0
CRI_MV,D,20220222,000000,215.73,221.91,213.82,221.91,0,0
CRI_MV,D,20220223,000000,222.07,232.83,213.67,216.2,0,0
CRI_MV,D,20220224,000000,190.35,201.45,174.49,201.42,0,0
CRI_MV,D,20220225,000000,206.21,221.91,206.21,220.17,0,0
CRI_MV,D,20220228,000000,209.38,232.76,209.38,228.35,0,0
CRI_MV,D,20220301,000000,228.42,230,209.38,221.91,0,0
CRI_MV,D,20220302,000000,221.91,247.13,221.91,244.28,0,0
CRI_MV,D,20220303,000000,249.01,260.11,237.93,247.45,0,0
