<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BCX_MV,D,20211108,000000,115.04,115.04,115.04,115.04,0,0
BCX_MV,D,20211109,000000,117.34,130.81,117.34,120.3,0,0
BCX_MV,D,20211110,000000,120.3,120.3,110.44,115.04,0,0
BCX_MV,D,20211112,000000,117.96,117.96,112.08,112.24,0,0
BCX_MV,D,20211115,000000,112.24,112.24,105.51,106.16,0,0
BCX_MV,D,20211116,000000,104.85,104.85,98.93,102.71,0,0
BCX_MV,D,20211117,000000,103.21,118,103.21,118,0,0
BCX_MV,D,20211118,000000,117.93,118,110.11,113.39,0,0
BCX_MV,D,20211119,000000,113.07,121.28,108.5,119.31,0,0
BCX_MV,D,20211122,000000,119.31,119.31,112.44,116.68,0,0
BCX_MV,D,20211123,000000,116.68,119.31,110.11,119.31,0,0
BCX_MV,D,20211124,000000,119.29,119.97,116.68,118.32,0,0
BCX_MV,D,20211125,000000,116.68,119.29,115.04,119.29,0,0
BCX_MV,D,20211126,000000,114.05,119.31,113.1,119.21,0,0
BCX_MV,D,20211129,000000,117.77,117.77,115.04,117.77,0,0
BCX_MV,D,20211130,000000,118.32,119.93,118.29,119.93,0,0
BCX_MV,D,20211201,000000,116.06,121.61,116.06,121.61,0,0
BCX_MV,D,20211202,000000,122.27,124.73,121.61,124.7,0,0
BCX_MV,D,20211203,000000,122.3,124.9,122.3,124.9,0,0
BCX_MV,D,20211206,000000,124.03,124.9,123.91,123.91,0,0
BCX_MV,D,20211207,000000,122.3,122.3,119.01,120.03,0,0
BCX_MV,D,20211208,000000,121.61,121.61,118.32,121.22,0,0
BCX_MV,D,20211209,000000,121.22,121.22,118.32,120.3,0,0
BCX_MV,D,20211210,000000,118.65,118.65,118.65,118.65,0,0
BCX_MV,D,20211213,000000,119.97,120.95,118,120.63,0,0
BCX_MV,D,20211214,000000,118.32,124.9,117.5,124.9,0,0
BCX_MV,D,20211215,000000,124.88,140.67,124.88,140.66,0,0
BCX_MV,D,20211216,000000,140.76,159.41,140.76,154.1,0,0
BCX_MV,D,20211217,000000,153.16,153.16,148.92,151.85,0,0
BCX_MV,D,20211220,000000,151.19,152.51,143.96,148.56,0,0
BCX_MV,D,20211221,000000,141.36,147.58,141.36,146.69,0,0
BCX_MV,D,20211222,000000,143.04,144.62,141.5,144.62,0,0
BCX_MV,D,20211223,000000,146.66,151.16,146.03,150.85,0,0
BCX_MV,D,20211227,000000,150.85,150.85,144.62,150.77,0,0
BCX_MV,D,20211228,000000,147.97,151.19,147.97,151.19,0,0
BCX_MV,D,20211229,000000,151.19,167.59,151.19,167.59,0,0
BCX_MV,D,20211230,000000,166.97,173.54,165.98,171.57,0,0
BCX_MV,D,20220103,000000,171.9,183.73,171.9,183.73,0,0
BCX_MV,D,20220104,000000,192.41,226.79,192.41,216.93,0,0
BCX_MV,D,20220105,000000,218.57,218.57,198.23,212.33,0,0
BCX_MV,D,20220107,000000,210.35,210.68,206.41,210.68,0,0
BCX_MV,D,20220110,000000,208.71,212,203.78,209.96,0,0
BCX_MV,D,20220111,000000,200.89,209.5,200.82,209.2,0,0
BCX_MV,D,20220112,000000,203.78,207.73,191.69,200.79,0,0
BCX_MV,D,20220113,000000,201.15,201.22,197.21,199.84,0,0
BCX_MV,D,20220114,000000,197.21,200.46,195.89,200.46,0,0
