<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
URT_MV,D,20211027,000000,110.64,110.64,110.64,110.64,0,0
URT_MV,D,20211028,000000,110.89,111.95,109.74,109.74,0,0
URT_MV,D,20211029,000000,109.74,109.74,105.26,108.62,0,0
URT_MV,D,20211102,000000,105.37,105.37,104.7,105.26,0,0
URT_MV,D,20211103,000000,103.02,123.18,101.9,111.53,0,0
URT_MV,D,20211104,000000,111.53,111.87,105.26,111.08,0,0
URT_MV,D,20211105,000000,105.37,110.86,105.26,109.74,0,0
URT_MV,D,20211108,000000,105.37,107.5,105.26,107.5,0,0
URT_MV,D,20211109,000000,107.5,109.74,107.5,108.62,0,0
URT_MV,D,20211110,000000,108.62,108.62,108.62,108.62,0,0
URT_MV,D,20211112,000000,110.86,111.98,110.86,111.98,0,0
URT_MV,D,20211115,000000,112.49,112.49,112.49,112.49,0,0
URT_MV,D,20211116,000000,108.62,111.42,107.5,109.74,0,0
URT_MV,D,20211117,000000,109.18,109.18,109.18,109.18,0,0
URT_MV,D,20211118,000000,105.28,107.5,105.28,107.5,0,0
URT_MV,D,20211119,000000,105.28,107.5,105.28,107.5,0,0
URT_MV,D,20211122,000000,107.5,107.5,107.5,107.5,0,0
URT_MV,D,20211123,000000,103.04,107.5,103.04,107.5,0,0
URT_MV,D,20211125,000000,107.48,107.48,107.48,107.48,0,0
URT_MV,D,20211130,000000,107.38,107.38,105.26,105.26,0,0
URT_MV,D,20211201,000000,107.37,107.37,100.78,100.78,0,0
URT_MV,D,20211202,000000,100.44,107.37,100.44,100.78,0,0
URT_MV,D,20211203,000000,99.55,99.55,99.55,99.55,0,0
URT_MV,D,20211206,000000,97.65,97.65,95.18,95.18,0,0
URT_MV,D,20211207,000000,95.18,107.39,95.18,104.7,0,0
URT_MV,D,20211208,000000,105.26,107.39,105.26,107.25,0,0
URT_MV,D,20211209,000000,107.28,107.39,103.02,107.37,0,0
URT_MV,D,20211210,000000,107.37,107.39,107.37,107.39,0,0
URT_MV,D,20211213,000000,107.39,107.39,107.39,107.39,0,0
URT_MV,D,20211214,000000,107.39,107.39,104.14,107.38,0,0
URT_MV,D,20211215,000000,104.14,105.26,101.02,105.26,0,0
URT_MV,D,20211216,000000,105.26,105.26,105.14,105.14,0,0
URT_MV,D,20211217,000000,101.34,105.26,101.34,105.26,0,0
URT_MV,D,20211220,000000,105.24,105.26,105.24,105.26,0,0
