<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
URT_PB,D,20211027,000000,89.95,89.95,89.95,89.95,0,0
URT_PB,D,20211028,000000,90.15,91.02,89.22,89.22,0,0
URT_PB,D,20211029,000000,89.22,89.22,85.58,88.31,0,0
URT_PB,D,20211102,000000,85.67,85.67,85.12,85.58,0,0
URT_PB,D,20211103,000000,83.76,100.15,82.85,90.67,0,0
URT_PB,D,20211104,000000,90.67,90.95,85.58,90.31,0,0
URT_PB,D,20211105,000000,85.67,90.13,85.58,89.22,0,0
URT_PB,D,20211108,000000,85.67,87.4,85.58,87.4,0,0
URT_PB,D,20211109,000000,87.4,89.22,87.4,88.31,0,0
URT_PB,D,20211110,000000,88.31,88.31,88.31,88.31,0,0
URT_PB,D,20211112,000000,90.13,91.04,90.13,91.04,0,0
URT_PB,D,20211115,000000,91.46,91.46,91.46,91.46,0,0
URT_PB,D,20211116,000000,88.31,90.59,87.4,89.22,0,0
URT_PB,D,20211117,000000,88.76,88.76,88.76,88.76,0,0
URT_PB,D,20211118,000000,85.59,87.4,85.59,87.4,0,0
URT_PB,D,20211119,000000,85.59,87.4,85.59,87.4,0,0
URT_PB,D,20211122,000000,87.4,87.4,87.4,87.4,0,0
URT_PB,D,20211123,000000,83.77,87.4,83.77,87.4,0,0
URT_PB,D,20211125,000000,87.38,87.38,8.99,8.99,0,0
URT_PB,D,20211130,000000,8.98,8.98,8.8,8.8,0,0
URT_PB,D,20211201,000000,8.98,8.98,8.43,8.43,0,0
URT_PB,D,20211202,000000,8.4,8.98,8.4,8.43,0,0
URT_PB,D,20211203,000000,8.32,8.32,8.32,8.32,0,0
URT_PB,D,20211206,000000,8.16,8.16,7.96,7.96,0,0
URT_PB,D,20211207,000000,7.96,8.98,7.96,8.75,0,0
URT_PB,D,20211208,000000,8.8,8.98,8.8,8.97,0,0
URT_PB,D,20211209,000000,8.97,8.98,8.61,8.98,0,0
URT_PB,D,20211210,000000,8.98,8.98,8.98,8.98,0,0
URT_PB,D,20211213,000000,8.98,8.98,8.98,8.98,0,0
URT_PB,D,20211214,000000,8.98,8.98,8.71,8.98,0,0
URT_PB,D,20211215,000000,8.71,8.8,8.45,8.8,0,0
URT_PB,D,20211216,000000,8.8,8.8,8.79,8.79,0,0
URT_PB,D,20211217,000000,8.47,8.8,8.47,8.8,0,0
URT_PB,D,20211220,000000,8.8,8.8,8.8,8.8,0,0
URT_PB,D,20211221,000000,8.71,8.98,8.71,8.8,0,0
URT_PB,D,20211222,000000,8.89,8.89,8.89,8.89,0,0
URT_PB,D,20211223,000000,8.89,8.89,8.71,8.71,0,0
URT_PB,D,20211227,000000,8.98,8.98,8.98,8.98,0,0
URT_PB,D,20211228,000000,8.93,9.13,8.93,9.13,0,0
URT_PB,D,20211229,000000,9.13,9.14,9.13,9.14,0,0
URT_PB,D,20211230,000000,9.14,9.14,9.14,9.14,0,0
URT_PB,D,20220103,000000,9.14,10,9.14,10,0,0
URT_PB,D,20220104,000000,9.53,9.72,9.15,9.53,0,0
URT_PB,D,20220105,000000,9.62,9.62,9.25,9.53,0,0
URT_PB,D,20220110,000000,9.53,9.53,9.34,9.53,0,0
URT_PB,D,20220111,000000,9.53,9.81,9.34,9.44,0,0
URT_PB,D,20220112,000000,9.3,9.53,9.3,9.53,0,0
URT_PB,D,20220113,000000,9.53,9.53,9.53,9.53,0,0
URT_PB,D,20220114,000000,9.53,9.53,9.53,9.53,0,0
URT_PB,D,20220117,000000,9.31,9.53,9.18,9.53,0,0
URT_PB,D,20220118,000000,9.44,9.53,9.44,9.53,0,0
URT_PB,D,20220119,000000,9.53,9.53,9.53,9.53,0,0
URT_PB,D,20220120,000000,9.3,9.53,9.3,9.53,0,0
URT_PB,D,20220121,000000,9.34,9.34,9.3,9.3,0,0
URT_PB,D,20220124,000000,9.63,9.63,9.15,9.25,0,0
URT_PB,D,20220125,000000,9.44,9.44,9.44,9.44,0,0
URT_PB,D,20220126,000000,9.44,9.44,9.44,9.44,0,0
URT_PB,D,20220127,000000,9.44,9.53,9.34,9.53,0,0
URT_PB,D,20220128,000000,9.53,9.53,9.44,9.44,0,0
URT_PB,D,20220131,000000,9.44,9.5,9.34,9.5,0,0
URT_PB,D,20220201,000000,9.44,9.44,9.44,9.44,0,0
URT_PB,D,20220202,000000,9.44,9.44,9.44,9.44,0,0
URT_PB,D,20220204,000000,9.44,9.44,8.58,9.44,0,0
URT_PB,D,20220208,000000,9.25,9.44,9.25,9.44,0,0
URT_PB,D,20220209,000000,9.34,9.34,9.15,9.15,0,0
URT_PB,D,20220210,000000,9.15,9.15,9.15,9.15,0,0
URT_PB,D,20220211,000000,8.96,8.96,8.96,8.96,0,0
URT_PB,D,20220214,000000,9.25,9.25,8.87,9.06,0,0
URT_PB,D,20220215,000000,9.25,9.25,9.06,9.06,0,0
URT_PB,D,20220216,000000,9.15,9.15,9.15,9.15,0,0
URT_PB,D,20220217,000000,9.34,9.44,9.06,9.06,0,0
URT_PB,D,20220218,000000,8.69,8.96,8.58,8.77,0,0
URT_PB,D,20220221,000000,8.77,8.77,8.31,8.48,0,0
URT_PB,D,20220222,000000,8.48,8.48,8.48,8.48,0,0
URT_PB,D,20220224,000000,8.1,8.1,7.63,7.72,0,0
URT_PB,D,20220225,000000,7.72,8.48,7.72,8.48,0,0
URT_PB,D,20220228,000000,8.1,9.53,8.1,9.52,0,0
URT_PB,D,20220301,000000,9.15,9.15,9.15,9.15,0,0
URT_PB,D,20220302,000000,8.77,9.15,8.48,8.48,0,0
URT_PB,D,20220303,000000,8.87,8.87,8.87,8.87,0,0
URT_PB,D,20220304,000000,9.05,9.05,8.68,8.68,0,0
URT_PB,D,20220307,000000,8.29,8.39,8.1,8.39,0,0
URT_PB,D,20220308,000000,8.39,8.39,8.39,8.39,0,0
URT_PB,D,20220309,000000,8.2,8.2,7.91,8.1,0,0
URT_PB,D,20220310,000000,8.1,8.48,8.1,8.1,0,0
URT_PB,D,20220311,000000,8.01,8.2,8.01,8.2,0,0
URT_PB,D,20220314,000000,8.1,8.2,8.1,8.2,0,0
URT_PB,D,20220315,000000,8.2,8.2,8.2,8.2,0,0
URT_PB,D,20220316,000000,7.72,8.1,7.72,8.01,0,0
URT_PB,D,20220317,000000,8.1,8.1,7.91,7.91,0,0
URT_PB,D,20220318,000000,7.91,8.1,7.91,8.1,0,0
URT_PB,D,20220321,000000,8.1,10.71,8.1,10.71,0,0
URT_PB,D,20220322,000000,10.7,10.7,10.36,10.47,0,0
URT_PB,D,20220323,000000,10.47,10.71,10.47,10.71,0,0
URT_PB,D,20220324,000000,10.71,10.71,10.47,10.47,0,0
URT_PB,D,20220325,000000,10.12,10.47,10,10.47,0,0
URT_PB,D,20220328,000000,9.88,10,9.77,9.77,0,0
URT_PB,D,20220329,000000,9.77,11.53,9.77,11.06,0,0
URT_PB,D,20220330,000000,11.06,11.06,10.83,10.83,0,0
URT_PB,D,20220331,000000,10.59,10.59,10.36,10.59,0,0
URT_PB,D,20220401,000000,10.24,11.06,10.12,11.06,0,0
URT_PB,D,20220404,000000,10.71,10.94,10.24,10.94,0,0
URT_PB,D,20220406,000000,11.06,11.06,11.06,11.06,0,0
URT_PB,D,20220407,000000,10.59,11.04,10.59,11.04,0,0
URT_PB,D,20220408,000000,10.59,11.04,10.59,11.04,0,0
URT_PB,D,20220411,000000,10.82,10.82,10.82,10.82,0,0
URT_PB,D,20220412,000000,10.82,10.82,10.48,10.48,0,0
URT_PB,D,20220413,000000,10.71,10.71,10.71,10.71,0,0
URT_PB,D,20220414,000000,10.99,10.99,10.99,10.99,0,0
URT_PB,D,20220419,000000,11.01,11.01,11.01,11.01,0,0
URT_PB,D,20220420,000000,11.01,12.12,10.97,11.06,0,0
URT_PB,D,20220421,000000,10.94,10.94,10.94,10.94,0,0
URT_PB,D,20220422,000000,10.94,10.94,10.94,10.94,0,0
URT_PB,D,20220427,000000,11.06,11.06,11.06,11.06,0,0
URT_PB,D,20220428,000000,10.94,10.94,10.94,10.94,0,0
URT_PB,D,20220504,000000,10.61,10.61,10.59,10.59,0,0
URT_PB,D,20220509,000000,10,11.04,10,11.04,0,0
URT_PB,D,20220510,000000,10.59,10.59,10.59,10.59,0,0
URT_PB,D,20220511,000000,10.59,10.59,10.36,10.36,0,0
URT_PB,D,20220513,000000,10,10.73,10,10.59,0,0
URT_PB,D,20220516,000000,10.47,10.47,10.47,10.47,0,0
URT_PB,D,20220517,000000,10.59,10.59,10.59,10.59,0,0
URT_PB,D,20220518,000000,10.03,10.59,10.03,10.59,0,0
URT_PB,D,20220519,000000,10.14,11.76,10.14,11.76,0,0
URT_PB,D,20220520,000000,11.76,11.76,11.76,11.76,0,0
URT_PB,D,20220523,000000,11.62,11.62,11.62,11.62,0,0
URT_PB,D,20220524,000000,11.23,11.68,11.23,11.68,0,0
URT_PB,D,20220526,000000,11.1,11.68,11.1,11.68,0,0
URT_PB,D,20220527,000000,11.62,11.62,11.13,11.13,0,0
URT_PB,D,20220530,000000,11.65,11.65,11.65,11.65,0,0
URT_PB,D,20220531,000000,11.13,11.13,11.1,11.1,0,0
URT_PB,D,20220601,000000,11.23,11.23,11.21,11.21,0,0
URT_PB,D,20220602,000000,11.18,11.21,11.18,11.21,0,0
URT_PB,D,20220603,000000,11.05,11.73,10.97,11.49,0,0
URT_PB,D,20220607,000000,11.49,11.49,11.49,11.49,0,0
URT_PB,D,20220609,000000,10.89,11.49,10.89,11.49,0,0
URT_PB,D,20220614,000000,11.49,11.49,11.1,11.49,0,0
URT_PB,D,20220615,000000,10.84,11.47,10.84,11.47,0,0
URT_PB,D,20220617,000000,11.47,11.47,11.47,11.47,0,0
URT_PB,D,20220620,000000,11.47,11.47,11.47,11.47,0,0
URT_PB,D,20220622,000000,11.1,11.47,11.1,11.47,0,0
URT_PB,D,20220623,000000,11.47,11.47,11.47,11.47,0,0
URT_PB,D,20220624,000000,11.47,11.47,11.47,11.47,0,0
URT_PB,D,20220628,000000,11.47,12.17,11.23,11.73,0,0
URT_PB,D,20220629,000000,11.73,11.73,11.73,11.73,0,0
URT_PB,D,20220630,000000,11.73,11.73,11.73,11.73,0,0
URT_PB,D,20220704,000000,11.62,11.62,11.62,11.62,0,0
URT_PB,D,20220706,000000,11.36,11.6,11.36,11.6,0,0
URT_PB,D,20220707,000000,11.23,11.49,11.1,11.49,0,0
URT_PB,D,20220708,000000,11.23,11.49,11.23,11.49,0,0
URT_PB,D,20220711,000000,11.49,11.49,11.49,11.49,0,0
URT_PB,D,20220712,000000,11.49,11.49,11.49,11.49,0,0
URT_PB,D,20220714,000000,11.49,11.49,11.49,11.49,0,0
URT_PB,D,20220720,000000,11.49,11.49,11.49,11.49,0,0
URT_PB,D,20220725,000000,11.49,11.49,11.49,11.49,0,0
URT_PB,D,20220728,000000,11.1,11.1,10.84,11.1,0,0
URT_PB,D,20220801,000000,11.1,11.47,11.1,11.47,0,0
URT_PB,D,20220803,000000,11.36,11.36,11.36,11.36,0,0
URT_PB,D,20220805,000000,11.36,11.36,11.36,11.36,0,0
URT_PB,D,20220811,000000,11.36,11.36,11.36,11.36,0,0
URT_PB,D,20220812,000000,11.36,11.36,11.36,11.36,0,0
URT_PB,D,20220818,000000,10.84,12.92,10.84,12.92,0,0
URT_PB,D,20220823,000000,13.23,13.23,13.23,13.23,0,0
URT_PB,D,20220824,000000,12.62,12.92,12.62,12.92,0,0
URT_PB,D,20220825,000000,12.16,12.92,12.16,12.92,0,0
URT_PB,D,20220830,000000,12.92,12.92,12.92,12.92,0,0
URT_PB,D,20220831,000000,12.92,12.92,12.92,12.92,0,0
URT_PB,D,20220905,000000,12.92,12.92,12.92,12.92,0,0
URT_PB,D,20220906,000000,12.47,12.92,12.47,12.92,0,0
URT_PB,D,20220907,000000,12.19,12.19,11.71,12.16,0,0
URT_PB,D,20220909,000000,12.13,12.13,12.13,12.13,0,0
URT_PB,D,20220913,000000,12.13,12.16,11.71,12.16,0,0
URT_PB,D,20220914,000000,12.16,12.16,12.16,12.16,0,0
URT_PB,D,20220915,000000,12.16,12.16,12.16,12.16,0,0
URT_PB,D,20220916,000000,12.16,12.16,12.16,12.16,0,0
URT_PB,D,20220920,000000,12.01,12.01,12.01,12.01,0,0
