<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RNC_PB,D,20071001,000000,326.56,326.56,326.56,326.56,0,0
RNC_PB,D,20071002,000000,321.9,321.9,321.9,321.9,0,0
RNC_PB,D,20071003,000000,321.9,321.9,321.9,321.9,0,0
RNC_PB,D,20071004,000000,307.9,307.9,307.9,307.9,0,0
RNC_PB,D,20071005,000000,326.56,326.56,326.56,326.56,0,0
RNC_PB,D,20071008,000000,343.36,343.36,343.36,343.36,0,0
RNC_PB,D,20071009,000000,335.89,335.89,335.89,335.89,0,0
RNC_PB,D,20071010,000000,326.56,326.56,326.56,326.56,0,0
RNC_PB,D,20071011,000000,321.9,321.9,321.9,321.9,0,0
RNC_PB,D,20071012,000000,325.63,325.63,325.63,325.63,0,0
RNC_PB,D,20071015,000000,325.63,325.63,325.63,325.63,0,0
RNC_PB,D,20071016,000000,324.7,324.7,324.7,324.7,0,0
RNC_PB,D,20071017,000000,323.76,323.76,323.76,323.76,0,0
RNC_PB,D,20071018,000000,310.7,310.7,310.7,310.7,0,0
RNC_PB,D,20071019,000000,318.16,318.16,318.16,318.16,0,0
RNC_PB,D,20071022,000000,319.1,319.1,319.1,319.1,0,0
RNC_PB,D,20071023,000000,322.83,322.83,322.83,322.83,0,0
RNC_PB,D,20071024,000000,326.56,326.56,326.56,326.56,0,0
RNC_PB,D,20071025,000000,330.3,330.3,330.3,330.3,0,0
RNC_PB,D,20071026,000000,334.96,334.96,334.96,334.96,0,0
RNC_PB,D,20071029,000000,343.36,343.36,343.36,343.36,0,0
RNC_PB,D,20071030,000000,329.37,329.37,329.37,329.37,0,0
RNC_PB,D,20071031,000000,334.96,334.96,334.96,334.96,0,0
RNC_PB,D,20071102,000000,326.56,326.56,326.56,326.56,0,0
RNC_PB,D,20071105,000000,325.63,325.63,325.63,325.63,0,0
RNC_PB,D,20071106,000000,320.04,320.04,320.04,320.04,0,0
RNC_PB,D,20071107,000000,306.97,306.97,306.97,306.97,0,0
RNC_PB,D,20071108,000000,320.97,320.97,320.97,320.97,0,0
RNC_PB,D,20071109,000000,303.24,305.11,303.24,305.11,0,0
RNC_PB,D,20071112,000000,302.3,317.24,300.44,307.9,0,0
RNC_PB,D,20071113,000000,305.07,313.5,304.17,307.9,0,0
RNC_PB,D,20071114,000000,305.11,311.64,305.11,311.64,0,0
RNC_PB,D,20071115,000000,308.81,312.57,300.44,302.3,0,0
RNC_PB,D,20071116,000000,299.51,299.51,278.99,282.72,0,0
RNC_PB,D,20071119,000000,282.72,282.72,270.58,277.12,0,0
RNC_PB,D,20071120,000000,278.06,278.06,234.19,234.19,0,0
RNC_PB,D,20071121,000000,240.73,240.73,205.27,205.27,0,0
RNC_PB,D,20071122,000000,205.27,242.59,197.8,242.59,0,0
RNC_PB,D,20071123,000000,249.13,269.66,242.59,268.72,0,0
RNC_PB,D,20071126,000000,268.72,285.51,268.72,279.91,0,0
RNC_PB,D,20071127,000000,272.45,281.78,268.72,281.78,0,0
RNC_PB,D,20071128,000000,293.91,293.91,289.24,292.97,0,0
RNC_PB,D,20071129,000000,294.84,303.24,289.24,303.24,0,0
RNC_PB,D,20071130,000000,298.58,312.57,298.58,310.71,0,0
RNC_PB,D,20071203,000000,311.65,311.65,281.78,298.58,0,0
RNC_PB,D,20071204,000000,291.11,293.91,291.11,293.91,0,0
RNC_PB,D,20071205,000000,292.97,306.97,285.51,306.03,0,0
RNC_PB,D,20071206,000000,306.03,306.03,289.24,297.64,0,0
RNC_PB,D,20071207,000000,298.58,298.58,289.24,293.91,0,0
RNC_PB,D,20071210,000000,297.64,309.78,297.64,304.17,0,0
RNC_PB,D,20071211,000000,308.85,324.7,308.85,311.64,0,0
RNC_PB,D,20071212,000000,303.24,303.24,298.58,303.24,0,0
RNC_PB,D,20071213,000000,317.24,321.91,302.3,307.9,0,0
RNC_PB,D,20071214,000000,307.9,307.9,300.44,306.03,0,0
RNC_PB,D,20071217,000000,316.3,316.3,277.12,277.12,0,0
RNC_PB,D,20071218,000000,277.12,277.12,251.92,251.92,0,0
RNC_PB,D,20071219,000000,256.6,270.58,246.33,265.92,0,0
RNC_PB,D,20071220,000000,273.38,297.64,270.59,292.97,0,0
RNC_PB,D,20071221,000000,298.58,298.58,279.91,279.91,0,0
RNC_PB,D,20071227,000000,278.99,278.99,261.25,272.45,0,0
RNC_PB,D,20071228,000000,272.45,278.05,264.05,277.12,0,0
RNC_PB,D,20080102,000000,283.65,286.44,272.45,274.31,0,0
RNC_PB,D,20080103,000000,266.85,278.99,265.92,277.12,0,0
RNC_PB,D,20080104,000000,269.66,277.12,264.98,270.58,0,0
RNC_PB,D,20080107,000000,263.11,270.58,253.78,263.11,0,0
RNC_PB,D,20080108,000000,270.58,270.58,253.78,263.11,0,0
RNC_PB,D,20080109,000000,269.66,269.66,245.39,259.39,0,0
RNC_PB,D,20080110,000000,261.25,261.25,238.86,245.39,0,0
RNC_PB,D,20080111,000000,242.59,247.26,233.26,238.86,0,0
RNC_PB,D,20080114,000000,233.26,233.26,233.26,233.26,0,0
RNC_PB,D,20080115,000000,238.86,238.86,207.14,207.14,0,0
RNC_PB,D,20080116,000000,211.8,211.8,181.01,195.01,0,0
RNC_PB,D,20080117,000000,203.41,226.74,203.41,226.74,0,0
RNC_PB,D,20080118,000000,227.67,227.67,209,214.6,0,0
RNC_PB,D,20080121,000000,214.6,214.6,199.67,214.6,0,0
RNC_PB,D,20080122,000000,197.8,209,195.94,209,0,0
RNC_PB,D,20080123,000000,214.6,214.6,197.8,209.94,0,0
RNC_PB,D,20080124,000000,213.67,213.67,202.47,209,0,0
RNC_PB,D,20080125,000000,209.94,213.67,195.94,200.61,0,0
RNC_PB,D,20080128,000000,200.61,205.62,184.74,184.74,0,0
RNC_PB,D,20080129,000000,189.41,189.41,172.62,177.28,0,0
RNC_PB,D,20080130,000000,181.94,186.61,168.88,186.61,0,0
RNC_PB,D,20080131,000000,186.61,186.61,180.08,181.94,0,0
RNC_PB,D,20080201,000000,186.62,195.01,181.94,185.68,0,0
RNC_PB,D,20080204,000000,194.09,194.09,179.14,181.94,0,0
RNC_PB,D,20080205,000000,183.82,183.82,166.08,167.95,0,0
RNC_PB,D,20080206,000000,164.22,167.95,153.96,161.42,0,0
RNC_PB,D,20080207,000000,162.35,162.35,149.28,152.09,0,0
RNC_PB,D,20080208,000000,155.82,163.29,153.96,157.69,0,0
RNC_PB,D,20080211,000000,161.42,161.42,155.82,155.82,0,0
RNC_PB,D,20080212,000000,158.63,158.63,144.63,153.96,0,0
RNC_PB,D,20080213,000000,150.22,153.96,148.36,149.28,0,0
RNC_PB,D,20080214,000000,153.96,156.75,147.42,151.15,0,0
RNC_PB,D,20080215,000000,150.22,150.22,146.49,150.22,0,0
RNC_PB,D,20080218,000000,151.16,173.56,151.16,172.62,0,0
RNC_PB,D,20080219,000000,167.95,172.62,161.42,166.08,0,0
RNC_PB,D,20080220,000000,167.95,168.88,157.69,158.61,0,0
RNC_PB,D,20080221,000000,163.29,167.02,158.61,167.02,0,0
RNC_PB,D,20080222,000000,167.96,169.82,163.29,169.81,0,0
RNC_PB,D,20080225,000000,173.55,173.55,167.95,170.75,0,0
RNC_PB,D,20080226,000000,170.75,170.75,163.29,169.81,0,0
RNC_PB,D,20080227,000000,165.16,167.95,163.29,167.95,0,0
RNC_PB,D,20080228,000000,167.95,167.95,162.35,164.22,0,0
RNC_PB,D,20080229,000000,162.35,164.22,161.42,164.22,0,0
RNC_PB,D,20080303,000000,160.48,160.48,153.96,155.82,0,0
RNC_PB,D,20080304,000000,155.82,155.82,149.28,153.96,0,0
RNC_PB,D,20080305,000000,153.96,156.76,152.09,153.96,0,0
RNC_PB,D,20080306,000000,158.63,158.63,150.22,153.96,0,0
RNC_PB,D,20080307,000000,149.28,157.69,147.42,150.22,0,0
RNC_PB,D,20080310,000000,153.03,153.03,141.83,148.36,0,0
RNC_PB,D,20080311,000000,147.42,153.96,144.63,153.96,0,0
RNC_PB,D,20080312,000000,156.76,158.63,151.15,155.82,0,0
RNC_PB,D,20080313,000000,151.15,155.82,150.22,155.82,0,0
RNC_PB,D,20080314,000000,155.82,157.69,151.15,156.75,0,0
RNC_PB,D,20080317,000000,148.36,153.96,146.49,147.42,0,0
RNC_PB,D,20080318,000000,146.49,147.42,143.69,146.49,0,0
RNC_PB,D,20080319,000000,148.36,151.16,143.69,148.36,0,0
RNC_PB,D,20080320,000000,146.49,147.42,143.69,146.49,0,0
RNC_PB,D,20080325,000000,146.49,149.29,146.49,146.49,0,0
RNC_PB,D,20080326,000000,145.55,145.55,144.63,144.63,0,0
RNC_PB,D,20080327,000000,146.49,148.36,143.69,147.42,0,0
RNC_PB,D,20080328,000000,147.42,147.42,143.69,146.49,0,0
RNC_PB,D,20080402,000000,148.36,148.36,148.36,148.36,0,0
RNC_PB,D,20080403,000000,149.29,149.29,146.49,147.42,0,0
RNC_PB,D,20080404,000000,149.28,149.28,147.42,149.28,0,0
RNC_PB,D,20080407,000000,150.22,158.61,150.22,154.89,0,0
RNC_PB,D,20080408,000000,157.69,157.69,144.63,148.36,0,0
RNC_PB,D,20080409,000000,146.49,147.42,144.63,145.55,0,0
RNC_PB,D,20080410,000000,144.63,148.36,144.63,148.36,0,0
RNC_PB,D,20080411,000000,149.29,154.9,147.42,147.42,0,0
RNC_PB,D,20080414,000000,149.28,156.75,146.49,156.75,0,0
RNC_PB,D,20080415,000000,158.61,163.29,156.75,163.29,0,0
RNC_PB,D,20080416,000000,165.16,170.75,159.55,163.29,0,0
RNC_PB,D,20080417,000000,163.29,165.16,157.69,158.61,0,0
RNC_PB,D,20080418,000000,158.61,158.61,149.28,153.96,0,0
RNC_PB,D,20080421,000000,150.22,156.76,150.22,152.09,0,0
RNC_PB,D,20080422,000000,150.22,153.96,148.36,149.28,0,0
RNC_PB,D,20080423,000000,147.42,149.28,147.42,149.28,0,0
RNC_PB,D,20080424,000000,149.28,149.28,143.69,149.28,0,0
RNC_PB,D,20080425,000000,154.89,154.89,147.42,149.28,0,0
RNC_PB,D,20080428,000000,149.28,153.02,148.36,153.02,0,0
RNC_PB,D,20080429,000000,149.28,153.02,148.36,152.09,0,0
RNC_PB,D,20080430,000000,153.03,153.03,148.36,152.09,0,0
RNC_PB,D,20080505,000000,150.22,152.09,149.28,149.28,0,0
RNC_PB,D,20080506,000000,149.28,149.28,144.63,147.42,0,0
RNC_PB,D,20080507,000000,147.42,148.36,144.63,148.36,0,0
RNC_PB,D,20080508,000000,149.29,150.22,144.63,144.63,0,0
RNC_PB,D,20080509,000000,142.76,142.76,134.36,135.3,0,0
RNC_PB,D,20080512,000000,134.36,134.36,121.3,131.57,0,0
RNC_PB,D,20080513,000000,129.69,133.43,126.89,132.49,0,0
RNC_PB,D,20080514,000000,132.49,132.49,127.83,131.57,0,0
RNC_PB,D,20080515,000000,130.62,132.51,121.3,126.89,0,0
