date,nav,cash,weights
2020-01-01,100000.0,0.0,"{'PKO': 0.1650506375355959, 'PKN': 0.1456109734466534, 'PZU': 0.11527576660519447, 'CDR': 0.09580309238874486, 'PEO': 0.08930119760742596, 'KGH': 0.06596083678472556, 'LPP': 0.06093669537814201, 'SPL': 0.052351861551123875, 'CPS': 0.04210661831049766, 'PGE': 0.03631224059541467, 'DNP': 0.03435143902149179, 'MBK': 0.027047398141749886, 'OPL': 0.022953041993283536, 'CCC': 0.016840666716548637, 'ALR': 0.014465037873619625, 'TPE': 0.009761094703855142, 'JSW': 0.005871401345932932}"
2020-01-02,102239.19152541162,0.0,"{'PKO': 0.1650506375355959, 'PKN': 0.1456109734466534, 'PZU': 0.11527576660519447, 'CDR': 0.09580309238874486, 'PEO': 0.08930119760742596, 'KGH': 0.06596083678472556, 'LPP': 0.06093669537814201, 'SPL': 0.052351861551123875, 'CPS': 0.04210661831049766, 'PGE': 0.03631224059541467, 'DNP': 0.03435143902149179, 'MBK': 0.027047398141749886, 'OPL': 0.022953041993283536, 'CCC': 0.016840666716548637, 'ALR': 0.014465037873619625, 'TPE': 0.009761094703855142, 'JSW': 0.005871401345932932}"
2020-01-03,101023.64567588626,-1.4551915228366852e-11,"{'PKO': 0.1650506375355959, 'PKN': 0.1456109734466534, 'PZU': 0.11527576660519447, 'CDR': 0.09580309238874486, 'PEO': 0.08930119760742596, 'KGH': 0.06596083678472556, 'LPP': 0.06093669537814201, 'SPL': 0.052351861551123875, 'CPS': 0.04210661831049766, 'PGE': 0.03631224059541467, 'DNP': 0.03435143902149179, 'MBK': 0.027047398141749886, 'OPL': 0.022953041993283536, 'CCC': 0.016840666716548637, 'ALR': 0.014465037873619625, 'TPE': 0.009761094703855142, 'JSW': 0.005871401345932932}"
2020-01-06,101023.64567588626,-1.4551915228366852e-11,"{'PKO': 0.1650506375355959, 'PKN': 0.1456109734466534, 'PZU': 0.11527576660519447, 'CDR': 0.09580309238874486, 'PEO': 0.08930119760742596, 'KGH': 0.06596083678472556, 'LPP': 0.06093669537814201, 'SPL': 0.052351861551123875, 'CPS': 0.04210661831049766, 'PGE': 0.03631224059541467, 'DNP': 0.03435143902149179, 'MBK': 0.027047398141749886, 'OPL': 0.022953041993283536, 'CCC': 0.016840666716548637, 'ALR': 0.014465037873619625, 'TPE': 0.009761094703855142, 'JSW': 0.005871401345932932}"
2020-01-07,99685.55145379923,2.9103830456733704e-11,"{'PKO': 0.1650506375355959, 'PKN': 0.1456109734466534, 'PZU': 0.11527576660519447, 'CDR': 0.09580309238874486, 'PEO': 0.08930119760742596, 'KGH': 0.06596083678472556, 'LPP': 0.06093669537814201, 'SPL': 0.052351861551123875, 'CPS': 0.04210661831049766, 'PGE': 0.03631224059541467, 'DNP': 0.03435143902149179, 'MBK': 0.027047398141749886, 'OPL': 0.022953041993283536, 'CCC': 0.016840666716548637, 'ALR': 0.014465037873619625, 'TPE': 0.009761094703855142, 'JSW': 0.005871401345932932}"
2020-01-08,98395.37580451761,0.0,"{'PKO': 0.1650506375355959, 'PKN': 0.1456109734466534, 'PZU': 0.11527576660519447, 'CDR': 0.09580309238874486, 'PEO': 0.08930119760742596, 'KGH': 0.06596083678472556, 'LPP': 0.06093669537814201, 'SPL': 0.052351861551123875, 'CPS': 0.04210661831049766, 'PGE': 0.03631224059541467, 'DNP': 0.03435143902149179, 'MBK': 0.027047398141749886, 'OPL': 0.022953041993283536, 'CCC': 0.016840666716548637, 'ALR': 0.014465037873619625, 'TPE': 0.009761094703855142, 'JSW': 0.005871401345932932}"
2020-01-09,100341.1034091721,-1.4551915228366852e-11,"{'PKO': 0.1650506375355959, 'PKN': 0.1456109734466534, 'PZU': 0.11527576660519447, 'CDR': 0.09580309238874486, 'PEO': 0.08930119760742596, 'KGH': 0.06596083678472556, 'LPP': 0.06093669537814201, 'SPL': 0.052351861551123875, 'CPS': 0.04210661831049766, 'PGE': 0.03631224059541467, 'DNP': 0.03435143902149179, 'MBK': 0.027047398141749886, 'OPL': 0.022953041993283536, 'CCC': 0.016840666716548637, 'ALR': 0.014465037873619625, 'TPE': 0.009761094703855142, 'JSW': 0.005871401345932932}"
2020-01-10,100828.88365146668,0.0,"{'PKO': 0.1650506375355959, 'PKN': 0.1456109734466534, 'PZU': 0.11527576660519447, 'CDR': 0.09580309238874486, 'PEO': 0.08930119760742596, 'KGH': 0.06596083678472556, 'LPP': 0.06093669537814201, 'SPL': 0.052351861551123875, 'CPS': 0.04210661831049766, 'PGE': 0.03631224059541467, 'DNP': 0.03435143902149179, 'MBK': 0.027047398141749886, 'OPL': 0.022953041993283536, 'CCC': 0.016840666716548637, 'ALR': 0.014465037873619625, 'TPE': 0.009761094703855142, 'JSW': 0.005871401345932932}"
2020-01-13,102062.4855105145,1.4551915228366852e-11,"{'PKO': 0.1650506375355959, 'PKN': 0.1456109734466534, 'PZU': 0.11527576660519447, 'CDR': 0.09580309238874486, 'PEO': 0.08930119760742596, 'KGH': 0.06596083678472556, 'LPP': 0.06093669537814201, 'SPL': 0.052351861551123875, 'CPS': 0.04210661831049766, 'PGE': 0.03631224059541467, 'DNP': 0.03435143902149179, 'MBK': 0.027047398141749886, 'OPL': 0.022953041993283536, 'CCC': 0.016840666716548637, 'ALR': 0.014465037873619625, 'TPE': 0.009761094703855142, 'JSW': 0.005871401345932932}"
2020-01-14,101558.82368243906,0.0,"{'PKO': 0.1650506375355959, 'PKN': 0.1456109734466534, 'PZU': 0.11527576660519447, 'CDR': 0.09580309238874486, 'PEO': 0.08930119760742596, 'KGH': 0.06596083678472556, 'LPP': 0.06093669537814201, 'SPL': 0.052351861551123875, 'CPS': 0.04210661831049766, 'PGE': 0.03631224059541467, 'DNP': 0.03435143902149179, 'MBK': 0.027047398141749886, 'OPL': 0.022953041993283536, 'CCC': 0.016840666716548637, 'ALR': 0.014465037873619625, 'TPE': 0.009761094703855142, 'JSW': 0.005871401345932932}"
2020-01-15,100677.82114862034,1.4551915228366852e-11,"{'PKO': 0.1650506375355959, 'PKN': 0.1456109734466534, 'PZU': 0.11527576660519447, 'CDR': 0.09580309238874486, 'PEO': 0.08930119760742596, 'KGH': 0.06596083678472556, 'LPP': 0.06093669537814201, 'SPL': 0.052351861551123875, 'CPS': 0.04210661831049766, 'PGE': 0.03631224059541467, 'DNP': 0.03435143902149179, 'MBK': 0.027047398141749886, 'OPL': 0.022953041993283536, 'CCC': 0.016840666716548637, 'ALR': 0.014465037873619625, 'TPE': 0.009761094703855142, 'JSW': 0.005871401345932932}"
2020-01-16,101081.19982636954,1.4551915228366852e-11,"{'PKO': 0.1650506375355959, 'PKN': 0.1456109734466534, 'PZU': 0.11527576660519447, 'CDR': 0.09580309238874486, 'PEO': 0.08930119760742596, 'KGH': 0.06596083678472556, 'LPP': 0.06093669537814201, 'SPL': 0.052351861551123875, 'CPS': 0.04210661831049766, 'PGE': 0.03631224059541467, 'DNP': 0.03435143902149179, 'MBK': 0.027047398141749886, 'OPL': 0.022953041993283536, 'CCC': 0.016840666716548637, 'ALR': 0.014465037873619625, 'TPE': 0.009761094703855142, 'JSW': 0.005871401345932932}"
2020-01-17,101211.92774322417,0.0,"{'PKO': 0.1650506375355959, 'PKN': 0.1456109734466534, 'PZU': 0.11527576660519447, 'CDR': 0.09580309238874486, 'PEO': 0.08930119760742596, 'KGH': 0.06596083678472556, 'LPP': 0.06093669537814201, 'SPL': 0.052351861551123875, 'CPS': 0.04210661831049766, 'PGE': 0.03631224059541467, 'DNP': 0.03435143902149179, 'MBK': 0.027047398141749886, 'OPL': 0.022953041993283536, 'CCC': 0.016840666716548637, 'ALR': 0.014465037873619625, 'TPE': 0.009761094703855142, 'JSW': 0.005871401345932932}"
